"id","feature","datatype","relative_importance"
131,"pla_hist_pla_categorie_doelstelling_16","int",11.9346682295393
132,"pla_hist_pla_categorie_doelstelling_2","int",1.4493443759986
133,"pla_hist_pla_categorie_doelstelling_27","int",0.199789462654458
134,"pla_hist_pla_categorie_doelstelling_3","int",1.08978622296932
135,"pla_hist_pla_categorie_doelstelling_4","int",0.535187296122829
136,"pla_hist_pla_categorie_doelstelling_5","int",0.715052438889687
137,"pla_hist_pla_categorie_doelstelling_6","int",0.0839281961378271
138,"pla_hist_pla_categorie_doelstelling_9","int",0.601352241401138
139,"pla_hist_pla_categorie_doelstelling_other","int",0.681743329743924
140,"pla_historie_maatschappelijke_inspanning","int",0.426314858516946
141,"pla_historie_ontwikkeling","int",19.1112949665124
142,"pla_historie_other","int",0.583917021230177
143,"pla_historie_werk","int",0.209301301857205
144,"pla_historie_werk_en_inburgering","int",0
145,"pla_ondertekeningen_actueel","int",0.616532935575765
146,"pla_ondertekeningen_historie","int",8.95505415094084
147,"relatie_overig_kostendeler","int",20.748949566603
148,"relatie_overig_bewindvoerder","int",1.33541278196271
149,"relatie_overig_actueel_vorm__gemachtigde","int",0
150,"relatie_overig_actueel_vorm__kostendeler","int",35.4856737106356
151,"relatie_overig_actueel_vorm__onderhoudsplichtige","int",0.0834426334500624
152,"relatie_overig_actueel_vorm__ouders_verzorgers","int",0.243828695970586
153,"relatie_overig_actueel_vorm_other","int",3.03784158444034
154,"relatie_overig_historie_vorm__andere_inwonende","int",6.99061704750141
155,"relatie_overig_historie_vorm__gemachtigde","int",3.9507106203994
156,"relatie_overig_historie_vorm__kostendeler","int",3.00251896608346
157,"relatie_overig_historie_vorm__onderhoudsplichtige","int",0.444446761373501
158,"ontheffing_reden_tijdelijke_ontheffing_arbeidsverpl__en_tegenprestatie","int",0.373962316694428
159,"ontheffing_actueel_ind","int",0.996944912109884
160,"ontheffing_reden_hist_medische_gronden","int",0
161,"ontheffing_reden_hist_other","int",0.646504687217718
162,"ontheffing_reden_hist_sociale_gronden","int",0.223142862908856
163,"ontheffing_reden_hist_tijdelijke_ontheffing_arbeidsverpl__en_tegenprestatie","int",6.64074301875509
164,"ontheffing_reden_hist_tijdelijke_ontheffing_arbeidsverplichtingen","int",0
165,"ontheffing_reden_hist_vanwege_uw_sociaal_maatschappelijke_situatie","int",0.106765569023022
166,"ontheffing_hist_ind","int",0.28255175946829
167,"ontheffing_dagen_hist_vanwege_uw_medische_omstandigheden","int",13.8170249984941
168,"ontheffing_dagen_hist_mean","int",8.68153185349394
169,"belemmering_financiele_problemen","int",2.07810872332135
170,"belemmering_niet_computervaardig","int",0
171,"belemmering_psychische_problemen","int",0.279030354985911
172,"belemmering_woonsituatie","int",0.0824654822465081
173,"belemmering_aantal_huidig","int",0.494891127329391
174,"belemmering_ind","int",0
175,"belemmering_hist_lichamelijke_problematiek","int",0.0940769162639897
176,"belemmering_hist_psychische_problemen","int",0.120962445708176
177,"belemmering_hist_stabiele_mix__sz____dagbesteding_werk","int",0.0972582464699931
178,"belemmering_hist_taal","int",0
179,"belemmering_hist_verslavingsproblematiek","int",2.21930862765805
180,"belemmering_ind_hist","int",0.730974806016023
181,"belemmering_dagen_financiele_problemen","int",9.03713697826034
182,"belemmering_dagen_lichamelijke_problematiek","int",3.93730784853828
183,"belemmering_dagen_psychische_problemen","int",7.33095320195884
184,"typering_indicatie_geheime_gegevens","int",0.0894439591693557
185,"typering_other","int",0.21493965578635
186,"typering_transport__logistiek___tuinbouw","int",0.183548795931814
187,"typering_zorg__schoonmaak___welzijn","int",0
188,"typering_aantal","int",0.0738474260910814
189,"typering_ind","int",0
190,"typering_hist_inburgeringsbehoeftig","int",0
191,"typering_hist_sector_zorg","int",0
192,"typering_hist_aantal","int",0.27824879557949
193,"typering_hist_ind","int",0
194,"typering_dagen_som","int",5.06813622551688
195,"persoon_leeftijd_bij_onderzoek","int",100
196,"persoon_geslacht_vrouw","int",9.90395404277555
197,"competentie_aansturen","int",0.687151060015612
198,"competentie_analyseren","int",1.11993364442193
199,"competentie_ethisch_en_integer_handelen","int",0.172962976010446
200,"competentie_formuleren_en_rapporteren","int",0.209640577527266
201,"competentie_gedrevenheid_en_ambitie_tonen","int",1.11429240128225
202,"competentie_instructies_en_procedures_opvolgen","int",0
203,"competentie_kwaliteit_leveren","int",1.2731939216288
204,"competentie_leren","int",0
205,"competentie_materialen_en_middelen_inzetten","int",0.282672889736921
206,"competentie_met_druk_en_tegenslag_omgaan","int",0.133056497321367
207,"competentie_omgaan_met_verandering_en_aanpassen","int",0
208,"competentie_onderzoeken","int",0.176363323166802
209,"competentie_op_de_behoeften_en_verwachtingen_van_de__klant__richten","int",0.557559468535586
210,"competentie_other","int",0.646965587040634
211,"competentie_overtuigen_en_beïnvloeden","int",0.769426704264156
212,"competentie_plannen_en_organiseren","int",2.25626029406422
213,"competentie_samenwerken_en_overleggen","int",0.963316273604671
214,"competentie_vakdeskundigheid_toepassen","int",25.1066332470316
215,"persoonlijke_eigenschappen_motivatie_opm","int",0.457083693524511
216,"persoonlijke_eigenschappen_flexibiliteit_opm","int",0
217,"persoonlijke_eigenschappen_doorzettingsvermogen_opm","int",0.121273338079672
218,"persoonlijke_eigenschappen_zelfstandigheid_opm","int",0
219,"persoonlijke_eigenschappen_initiatief_opm","int",0.200260333837039
220,"persoonlijke_eigenschappen_communicatie_opm","int",0.109232644482388
221,"persoonlijke_eigenschappen_presentatie_opm","int",0.153052965183592
222,"persoonlijke_eigenschappen_uiterlijke_verzorging_opm","int",0.38759728615718
223,"persoonlijke_eigenschappen_leergierigheid_opm","int",0.272252000318197
224,"persoonlijke_eigenschappen_houding_opm","int",0.54125580155167
225,"persoonlijke_eigenschappen_hobbies_sport","int",0.618196915732976
226,"persoonlijke_eigenschappen_opstelling","int",0.977506420679565
227,"persoonlijke_eigenschappen_overige_opmerkingen","int",0.297839355565953
228,"persoonlijke_eigenschappen_spreektaal_anders","int",0.108257075320834
229,"persoonlijke_eigenschappen_spreektaal","int",3.83640641055038
230,"persoonlijke_eigenschappen_ind_regulier_arbeidsritme","int",0.141302823297283
231,"persoonlijke_eigenschappen_ind_buiten_kantoortijden","int",0
232,"persoonlijke_eigenschappen_ind_activering_traject","int",0.134874390943897
233,"persoonlijke_eigenschappen_uitstroom_verw_vlgs_klant","int",1.93590796746875
234,"persoonlijke_eigenschappen_uitstroom_verw_vlgs_km","int",4.24606275828558
235,"persoonlijke_eigenschappen_taaleis_voldaan","int",4.17954060342782
236,"persoonlijke_eigenschappen_taaleis_schrijfv_ok","int",0.231916985269289
237,"persoonlijke_eigenschappen_dagen_sinds_opvoer","int",14.9285159959632
238,"persoonlijke_eigenschappen_dagen_sinds_taaleis","int",15.15384566458
239,"persoonlijke_eigenschappen_nl_spreken1","int",0.178609465368097
240,"persoonlijke_eigenschappen_nl_spreken2","int",0.16136326971987
241,"persoonlijke_eigenschappen_nl_spreken3","int",0.436337455050888
242,"persoonlijke_eigenschappen_nl_lezen3","int",0
243,"persoonlijke_eigenschappen_nl_lezen4","int",0
244,"persoonlijke_eigenschappen_nl_schrijven0","int",0.142233570993167
245,"persoonlijke_eigenschappen_nl_schrijven1","int",0
246,"persoonlijke_eigenschappen_nl_schrijven2","int",0.105778359033252
247,"persoonlijke_eigenschappen_nl_schrijven3","int",0
248,"persoonlijke_eigenschappen_nl_schrijvenfalse","int",0.303050064198234
249,"persoonlijke_eigenschappen_nl_begrijpen3","int",0.306976074856989
250,"relatie_kind_huidige_aantal","int",10.8479974095462
251,"relatie_kind_heeft_kinderen","int",0
252,"relatie_kind_leeftijd_verschil_ouder_eerste_kind","int",11.1659153714029
253,"relatie_kind_basisschool_kind","int",0.198268561708072
254,"relatie_kind_jongvolwassen","int",7.99122397184817
255,"relatie_kind_tiener","int",1.02956592154976
256,"relatie_kind_volwassen","int",0.323936860496158
257,"deelname_act_actueel_projecten_uniek","int",1.80643312732028
258,"deelname_act_hist_projecten_niet_gestart","int",2.54119304884165
259,"deelname_act_reintegratieladder_ondersteunende_instrumenten","int",1.14647708629625
260,"deelname_act_reintegratieladder_werk_re_integratie","int",1.78468732326521
261,"afspraak_resultaat_ingevuld_uniek","int",8.18245288931469
262,"afspraak_aantal_woorden","int",6.92486460480748
263,"afspraak_laatstejaar_resultaat_ingevuld","int",0.955195700538756
264,"afspraak_laatstejaar_resultaat_ingevuld_uniek","int",7.04025299680087
265,"afspraak_laatstejaar_aantal_woorden","int",7.28602944282368
266,"afspraak_aanmelding_afgesloten","int",0.481259311812272
267,"afspraak_afsprakenplan","int",0.348784084537803
268,"afspraak_controle_aankondiging_maatregel","int",3.12078187357376
269,"afspraak_controle_verwijzing","int",0.164491379031479
270,"afspraak_deelname_compleet_uit_webapplicatie","int",0.604675156080316
271,"afspraak_galo_gesprek","int",0.610088578998771
272,"afspraak_gespr__einde_zoekt___galo_gesprek_","int",1.09243126042346
273,"afspraak_inspanningsperiode","int",9.35564131378657
274,"afspraak_other","int",0.295168520509576
275,"afspraak_participatietrede_vervolgmeting","int",1.71844237391031
276,"afspraak_signaal_van_aanbieder","int",1.22269276729816
277,"afspraak_signaal_voor_medewerker","int",6.76108312108738
278,"afspraak_toevoegen_inschrijving_uwvwb","int",1.08197556101396
279,"afspraak_vervolgmeting_matchbaarheid_werkzoekende_klant","int",0.826972792561666
280,"afspraak_verzenden_beschikking_i_v_m__niet_voldoen_aan_wet_taaleis","int",1.25529936120694
281,"afspraak_voortgangsgesprek","int",0.450557952824623
282,"afspraak_afgelopen_jaar_afsprakenplan","int",2.00636958180169
283,"afspraak_afgelopen_jaar_monitoring_insp__wet_taaleis_na_12_mnd_n_a_v__taa04_____geen_maatregel","int",2.24398375711602
284,"afspraak_afgelopen_jaar_ontheffing","int",0.209943698250015
285,"afspraak_afgelopen_jaar_ontheffing_taaleis","int",2.79254974826647
286,"afspraak_afgelopen_jaar_plan_van_aanpak","int",0.246070059396971
287,"afspraak_afgelopen_jaar_signaal_voor_medewerker","int",1.36521668581164
288,"afspraak_afgelopen_jaar_vervolgmeting_matchbaarheid_werkzoekende_klant","int",0
289,"afspraak_afgelopen_jaar_voortgang_aanmelding_en_deelname","int",0.638087639360935
290,"instrument_ladder_huidig_activering","int",17.5047868044649
291,"instrument_ladder_huidig_other","int",0.599337696601628
292,"instrument_ladder_huidig_werk_re_integratie","int",0.134687481360148
293,"instrument_ladder_historie_activering","int",10.7604328265657
294,"instrument_ladder_historie_other","int",0.572441732571239
295,"instrument_reden_beeindiging_historie_centrale_actie_wigo4it","int",0.496207214991962
296,"instrument_reden_beeindiging_historie_diagnose_gesteld","int",0
297,"instrument_reden_beeindiging_historie_direct_matchbaar","int",0.0897707182215298
298,"instrument_reden_beeindiging_historie_doelstelling_bereikt__geen_uitstroom","int",0.196685576486004
299,"instrument_reden_beeindiging_historie_doelstelling_bereikt__uitstroom_naar_regulier_werk","int",0
300,"instrument_reden_beeindiging_historie_doelstelling_bereikt__uitstroom_overig","int",0
301,"instrument_reden_beeindiging_historie_doelstelling_niet_bereikt__geen_uitstroom","int",0.541809600421568
302,"instrument_reden_beeindiging_historie_niet_matchbaar","int",0
303,"instrument_reden_beeindiging_historie_niet_succesvol","int",0.646481976780133
304,"instrument_reden_beeindiging_historie_niet_succesvol__reden_bij_werkzoekende","int",0
305,"instrument_reden_beeindiging_historie_op_termijn_matchbaar","int",0.174048422817931
306,"instrument_reden_beeindiging_historie_other","int",0.22941724791603
307,"instrument_reden_beeindiging_historie_overdracht_naar_mo","int",0.284799892814161
308,"instrument_reden_beeindiging_historie_overdracht_naar_prematching","int",0
309,"instrument_reden_beeindiging_historie_overdracht_naar_regulier_team_iwpm","int",0.203023232882497
310,"instrument_reden_beeindiging_historie_overdracht_succesvol","int",0.308990164379404
311,"instrument_reden_beeindiging_historie_succesvol","int",7.37936859127129
312,"instrument_reden_beeindiging_historie_succesvol__doelstelling_bereikt","int",0.0843089469305912
313,"instrument_reden_beeindiging_historie_uitval__aanbod_niet_langer_zinvol_volgens_gemeente","int",0.356387682997284
314,"instrument_reden_beeindiging_historie_uitval__klant_wz__ziet_af_van_aanbod","int",1.8980661127224
315,"instrument_aantal_laatstejaar","int",0.599170002868315
